RegionID,SizeRank,RegionName,State,Date,Median House Value,Inflation Rate,Housing Market Supply,Rental Price Index,Unemployment Rate,,,City,Average Market Rental
6181,1,New York,NY,1/31/2020,"$699,969 ",2.50%,4721.248047,2821.03,4.1,,,New York,"$3,097 "
6181,1,New York,NY,2/29/2020,"$699,687 ",2.30%,2858.292971,2839.12,4.2,,,Los Angeles,"$2,627 "
6181,1,New York,NY,3/31/2020,"$699,264 ",1.50%,2176.704063,2853.24,4.2,,,Houston,"$1,478 "
6181,1,New York,NY,4/30/2020,"$698,775 ",0.30%,1090.01245,2843.3,15.7,,,Chicago,"$1,910 "
6181,1,New York,NY,5/31/2020,"$699,494 ",0.10%,2772.959714,2814.85,16.7,,,San Antonio,"$1,347 "
6181,1,New York,NY,6/30/2020,"$699,086 ",0.60%,3200.091774,2775.48,13.6,,,Philadelphia,"$1,585 "
6181,1,New York,NY,7/31/2020,"$698,079 ",1.00%,3534.490427,2736.12,12.6,,,Phoenix,"$1,518 "
6181,1,New York,NY,8/31/2020,"$696,449 ",1.30%,2680.522805,,10.8,,,Las Vegas,"$1,587 "
6181,1,New York,NY,9/30/2020,"$697,581 ",1.40%,4859.656283,,10.2,,,San Diego,"$2,684 "
6181,1,New York,NY,10/31/2020,"$699,632 ",1.20%,3501.500136,2537.41,9.2,,,Dallas,"$1,584 "
6181,1,New York,NY,11/30/2020,"$702,577 ",1.20%,3315.326077,2491.41,8.9,,,Austin,"$1,630 "
6181,1,New York,NY,12/31/2020,"$705,349 ",1.40%,3665.617218,2467.3,8.7,,,,
6181,1,New York,NY,1/31/2021,"$707,626 ",1.40%,3802.506459,2457.64,8.6,,,,
6181,1,New York,NY,2/28/2021,"$710,746 ",1.70%,3834.087853,2472.37,8.4,,,,
6181,1,New York,NY,3/31/2021,"$714,204 ",2.60%,3076.69832,2500.15,8.1,,,,
6181,1,New York,NY,4/30/2021,"$717,117 ",4.20%,3087.761569,2540.74,7.9,,,,
6181,1,New York,NY,5/31/2021,"$720,530 ",5.00%,3891.709394,2596.82,7.5,,,,
6181,1,New York,NY,6/30/2021,"$722,833 ",5.40%,3636.168499,2667.37,7.5,,,,
6181,1,New York,NY,7/31/2021,"$725,741 ",5.40%,2812.094867,2748.42,7.1,,,,
6181,1,New York,NY,8/31/2021,"$726,950 ",5.30%,3978.658316,2821.54,6.8,,,,
6181,1,New York,NY,9/30/2021,"$728,253 ",5.40%,3265.18672,2880.47,6.2,,,,
6181,1,New York,NY,10/31/2021,"$731,523 ",6.20%,3249.295343,2915.21,5.9,,,,
6181,1,New York,NY,11/30/2021,"$736,672 ",6.80%,4152.737697,2941.99,5.6,,,,
6181,1,New York,NY,12/31/2021,"$741,348 ",7.00%,3405.627156,2961.67,5.4,,,,
6181,1,New York,NY,1/31/2022,"$745,428 ",7.50%,3044.305766,2989.73,5.2,,,,
